iter	Passed	Remaining
666	1317	657
667	1319	655
668	1321	653
669	1323	652
670	1325	650
671	1328	648
672	1330	646
673	1332	644
674	1334	642
675	1337	640
676	1339	639
677	1342	637
678	1344	635
679	1347	634
680	1349	632
681	1352	630
682	1354	628
683	1356	626
684	1359	625
685	1361	623
686	1363	621
687	1366	619
688	1368	617
689	1371	615
690	1373	614
691	1375	612
692	1378	610
693	1380	608
694	1382	606
695	1385	604
696	1387	603
697	1389	601
698	1391	599
699	1393	597
700	1396	595
701	1398	593
702	1400	591
703	1403	589
704	1405	588
705	1407	586
706	1410	584
707	1412	582
708	1415	580
709	1417	578
710	1419	577
711	1422	575
712	1425	573
713	1428	572
714	1433	571
715	1436	569
716	1438	567
717	1441	566
718	1444	564
719	1446	562
720	1448	560
721	1451	558
722	1453	556
723	1455	554
724	1459	553
725	1461	551
726	1463	549
727	1465	547
728	1467	545
729	1470	543
730	1472	541
731	1474	539
732	1477	538
733	1479	536
734	1481	534
735	1484	532
736	1486	530
737	1488	528
738	1490	526
739	1493	524
740	1495	522
741	1497	520
742	1500	518
743	1502	516
744	1504	514
745	1506	512
746	1508	510
747	1510	508
748	1513	507
749	1515	505
750	1517	503
751	1519	501
752	1522	499
753	1524	497
754	1526	495
755	1528	493
756	1531	491
757	1533	489
758	1536	487
759	1538	485
760	1540	483
761	1542	481
762	1544	479
763	1546	477
764	1549	475
765	1551	473
766	1553	471
767	1556	470
768	1558	468
769	1560	466
770	1562	464
771	1564	462
772	1566	460
773	1568	458
774	1571	456
775	1573	454
776	1575	452
777	1577	450
778	1579	448
779	1581	446
780	1583	444
781	1585	442
782	1587	440
783	1589	438
784	1592	436
785	1594	434
786	1595	431
787	1598	429
788	1600	427
789	1602	425
790	1604	423
791	1606	421
792	1608	419
793	1611	417
794	1613	415
795	1615	413
796	1617	412
797	1620	410
798	1622	408
799	1624	406
800	1626	404
801	1628	402
802	1631	400
803	1633	398
804	1635	396
805	1637	394
806	1639	392
807	1641	390
808	1643	388
809	1645	386
810	1648	384
811	1650	382
812	1653	380
813	1656	378
814	1660	376
815	1663	375
816	1666	373
817	1669	371
818	1672	369
819	1674	367
820	1677	365
821	1679	363
822	1682	361
823	1685	360
824	1688	358
825	1690	356
826	1692	354
827	1695	352
828	1697	350
829	1700	348
830	1702	346
831	1704	344
832	1707	342
833	1709	340
834	1711	338
835	1713	336
836	1716	334
837	1718	332
838	1721	330
